01_kjw	 kjw
started at 08-May-2019 10:51:15
------------
scan:4	 blk:1	 trial:1	 onset:0.1113	 plan:0.0000	 recorded:0	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:2	 onset:1.5093	 plan:1.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:3	 onset:3.0150	 plan:3.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:4	 onset:4.5070	 plan:4.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:1	 response:1	 rt:0.4032	 accuracy:1

scan:4	 blk:1	 trial:5	 onset:6.0123	 plan:6.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:6	 onset:7.5170	 plan:7.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:1	 response:1	 rt:0.4094	 accuracy:1

scan:4	 blk:1	 trial:7	 onset:9.0168	 plan:9.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:8	 onset:10.5151	 plan:10.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:9	 onset:12.0069	 plan:12.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:10	 onset:13.5127	 plan:13.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:11	 onset:15.0176	 plan:15.0000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:1	 trial:12	 onset:16.5095	 plan:16.5000	 recorded:1	 xUpCond:1	 xLoCond:4	 xCatch:1	 response:1	 rt:0.3788	 accuracy:1

scan:4	 blk:2	 trial:13	 onset:27.0191	 plan:27.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:14	 onset:28.5134	 plan:28.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:1	 response:1	 rt:0.4709	 accuracy:1

scan:4	 blk:2	 trial:15	 onset:30.0166	 plan:30.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:16	 onset:31.5100	 plan:31.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:17	 onset:33.0155	 plan:33.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:18	 onset:34.5203	 plan:34.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:19	 onset:36.0203	 plan:36.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:20	 onset:37.5171	 plan:37.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:21	 onset:39.0203	 plan:39.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:22	 onset:40.5150	 plan:40.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:1	 response:1	 rt:0.4229	 accuracy:1

scan:4	 blk:2	 trial:23	 onset:42.0202	 plan:42.0000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:4	 blk:2	 trial:24	 onset:43.5132	 plan:43.5000	 recorded:1	 xUpCond:3	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

