01_kjw	 kjw
started at 08-May-2019 10:38:56
------------
scan:2	 blk:1	 trial:1	 onset:0.1078	 plan:0.0000	 recorded:0	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:2	 onset:1.6059	 plan:1.5000	 recorded:0	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

01_kjw	 kjw
started at 08-May-2019 10:39:41
------------
scan:2	 blk:1	 trial:1	 onset:0.1048	 plan:0.0000	 recorded:0	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:2	 onset:1.5047	 plan:1.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:3	 onset:3.0096	 plan:3.0000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:4	 onset:4.5018	 plan:4.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:5	 onset:6.0073	 plan:6.0000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:6	 onset:7.5112	 plan:7.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:7	 onset:9.0045	 plan:9.0000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:8	 onset:10.5085	 plan:10.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:1	 response:1	 rt:0.4257	 accuracy:1

scan:2	 blk:1	 trial:9	 onset:12.0141	 plan:12.0000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:10	 onset:13.5074	 plan:13.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:11	 onset:15.0120	 plan:15.0000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:1	 trial:12	 onset:16.4982	 plan:16.5000	 recorded:1	 xUpCond:2	 xLoCond:4	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:13	 onset:27.0144	 plan:27.0000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:14	 onset:28.5001	 plan:28.5000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:15	 onset:30.0121	 plan:30.0000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:1	 response:1	 rt:0.4381	 accuracy:1

scan:2	 blk:2	 trial:16	 onset:31.5170	 plan:31.5000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:17	 onset:33.0100	 plan:33.0000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:1	 response:1	 rt:0.5113	 accuracy:1

scan:2	 blk:2	 trial:18	 onset:34.5148	 plan:34.5000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:19	 onset:36.0073	 plan:36.0000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

scan:2	 blk:2	 trial:20	 onset:37.5005	 plan:37.5000	 recorded:1	 xUpCond:2	 xLoCond:2	 xCatch:0	 response:NaN	 rt:0.0000	 accuracy:0

